question,answer,source,theme
When is the deadline to appeal my property assessment?,"The FY25 deadline to file an appeal with the Board of Assessors is no later than Monday, February 3, 2024 at close of business (4:30pm). Mailed applications accepted if postmarked by U.S. Post Office by no later than February 3. You can pick up an application at the Assessor's Office or print one online.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Property assessment appeal FAQ",Finance
When are real estate tax bills due?,"Somerville has quarterly tax bills due 4 times per year: 1st quarter due August 1st (covers July-September), 2nd quarter due November 1st (covers October-December), 3rd quarter due February 1st (covers January-March), and 4th quarter due May 1st (covers April-June). If the 1st falls on a weekend/holiday, taxes are due the next business day. Fiscal year is July 1st through June 30th.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Real Estate Tax Bills",Finance
How do I apply for a residential exemption?,"All residential property owners who occupied their property as their primary residence as of the previous January 1st may apply for a residential exemption (tax discount). Applications are available at the Assessor's Office or online and are due by April 1st at 4:30pm. You don't need to file a new application each year, though Assessors periodically send notices to recertify eligibility. Applications are available starting July 1.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Residential exemption FAQ",Finance
Why is my residential exemption less than 35% of my property value?,"The 35% valuation deduction is based on the average residential value in the entire City, not your individual property. To calculate: add all residential parcel values, divide by number of residential parcels. The deduction allowed is 35% of that average value, which is then subtracted from your full valuation if you're eligible.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Residential exemption valuation FAQ",Finance
What happens to overpayments on tax bills?,"The Treasurer's office automatically issues a refund check for any overpayment on Real Estate and Personal Property tax bills at the end of the fiscal year (June 30th), as funds cannot be credited towards the next fiscal year.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Treasury contact reasons",Finance
What does the Treasury Department do?,"The Treasurer/Collector preserves, protects and manages the City's financial resources. They're responsible for receipt, accurate accounting, and prudent investment of all City funds to maximize yields while maintaining adequate liquidity and ensuring compliance with laws. Treasury issues and collects payment for water bills and tax bills (real estate, personal property, excise). They maintain banking relationships, electronic payment relationships, City debt, and building insurance for all City-owned property. They issue payroll checks for city, school employees and retirees, and checks to pay contractors, vendors and debts.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Treasury description",Finance
How do I update my mailing address for tax bills?,"To update mailing address for real estate and personal property tax bills, contact the Assessor's office. To update mailing address on future excise tax bills, file an RTA form with RMV before January 1st. To update mailing address on future water bills, contact Water & Sewer in writing at water@somervillema.gov.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Update address section",Finance
Who determines property values?,"The Board of Assessors calculates values based upon real estate market conditions in accordance with State Department of Revenue (DOR) regulations. Assessors use three accepted appraisal approaches: replacement cost, sales comparisons, and review of income generated by the property. Assessments are established based upon market value as of January 1st.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Who determines property value FAQ",Finance
How is my real estate tax calculated?,Property taxes are based on two factors: the assessed value for all property (minus exemption values) and the City's required property tax levy from the budget. Formula: Classified Tax Rates = Property Tax Levy / (Property Values - Exemption Values). The Assessors cannot arbitrarily lower the tax rate; it's a mathematical result of these factors.,"Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx, Who determines tax rate FAQ",Finance
What is a registry hold?,"A registry hold prevents renewal of driver's license or registration. For excise bills, city/town has up to 2 years to place a past due bill on registry hold. For parking violations, registry holds are placed within 90-120 days if not paid, with a $40 fee. The hold will not be released until all balances on all plates associated with the vehicle owner are paid in full.","Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx; Parking Quick Reference Guide 2024.docx, Registry holds",Finance
How do I view my water bill online?,Use the Citizen Self Service portal at somervillemacitizens.munisselfservice.com. Click 'Citizen Self Service' > 'Utility Billing' > enter account number OR street number/name > 'Manage Bills' > 'Show Past Bills' > 'Bill Details' > 'Payments and adjustments.' This is for viewing only; to make payments visit somervillema.gov/Payments.,"Finance Quick Reference Training Guide 2024 v2.docx; Finance Quick Reference Training Guide 2024.docx; Water and Sewer Quick Reference Training Guide 2024.docx, Citizen Self Service",Finance
When are water and sewer bills issued?,Water bills are issued on a trimester schedule (every 4 months) based on district. There are 7 billing districts with different schedules. Residential bills are issued every 4 months. Commercial bills are issued bi-monthly. The first digit of every account number determines the district. Bills are due 30 days after being entered into Munis.,"Finance Quick Reference Training Guide 2024 v2.docx; Water and Sewer Quick Reference Training Guide 2024.docx; New Hire Training PPT.pdf, Water billing cycles",Finance
What does the Auditing Department do?,"Auditing acts as the City's controller and internal auditor. They maintain the central financial account and management information system for all departments, boards, and commissions, handle fund transfers between budget codes, process payment of all invoices, coordinate the City's external audit, and prepare the Annual Comprehensive Financial Report (ACFR).","New Hire Training PPT.pdf, Finance Training - Auditing slide",Finance
What does the Grants Department do?,"Grants facilitates grant funding across federal, state, corporate, and private sources to support City initiatives—from public safety and environmental projects to arts and social services. They reduce reliance on tax revenue by securing external funding and providing both financial and technical support.","New Hire Training PPT.pdf, Finance Training - Grants slide",Finance
What services does the Council on Aging provide?,"The Council on Aging supports adults 60+ with programming, transportation, and resources. They manage the Ralph & Jenny Senior Center and satellite locations. They assist with Medicare, housing, and wellness support for Somerville seniors.","New Hire Training PPT.pdf, Health and Human Services Training - Council on Aging slide",Health and Human Services
What does Somerville Prevention Services do?,"Somerville Prevention Services focuses on substance use prevention, education, and recovery support. They collaborate with schools and community groups and lead youth-centered and trauma-informed initiatives.","New Hire Training PPT.pdf, Health and Human Services Training - Prevention slide",Health and Human Services
What does the Public Health Division do?,"The Public Health Division conducts communicable disease investigations and follow-ups, administers immunization programs for school-age children and vulnerable populations, hosts seasonal flu clinics, and manages emergency preparedness efforts.","New Hire Training PPT.pdf, Health and Human Services Training - Public Health slide",Health and Human Services
What does Veterans' Services do?,"Veterans' Services assists veterans and their families in accessing local, state, and federal benefits. They coordinate services such as housing, employment, and health care. They also host community events and remembrance programs for Somerville veterans.","New Hire Training PPT.pdf, Health and Human Services Training - Veterans' Services slide",Health and Human Services
What does Youth and Family Services provide?,"Youth and Family Services provides support for children, teens, and families. They coordinate counseling, mentoring, case management, and referrals. Their focus includes crisis intervention, school partnerships, and youth development programs.","New Hire Training PPT.pdf, Health and Human Services Training - Youth and Family Services slide",Health and Human Services
Who sends weekly construction updates?,"Jesse Moos, the Construction Liaison, emails a weekly update of the following week's Engineering and utility projects on Fridays.","DPW Training Manual 2024.docx, Engineering projects section",Infrastructure
What streets in Somerville are state property?,"The following state roads and all bridges in Somerville are under MassDOT jurisdiction: I-93, McGrath Highway Rt 28, Mystic Ave Rt 38, Alewife Brook Parkway Rt 16, and Shore Drive. Issues should be reported to massdothighwaycallcentercustomerservice@dot.state.ma.us or 781-641-8300.","DPW Training Manual 2024.docx, State Properties section",Infrastructure
What is the Pavement and Sidewalk Management Program?,DPW assesses street defects reports and depending on their nature may be addressed in house or referred to Engineering or Mobility departments to be addressed as part of the pavement sidewalk management program. Street improvement projects cost hundreds of thousands to millions and may involve state and federal funding. For more information: somervillema.gov/departments/programs/pavement-and-sidewalk-management-program,"DPW Training Manual 2024.docx, Street defects section",Infrastructure
What is a double utility pole?,Double poles occur when utility companies install a new pole but haven't moved their lines from the old pole yet. Double utility pole removals are assigned to Engineering. Engineering works with utility companies to resolve. Removals may take several years as each utility company must move their lines from old pole to new before old pole can be removed.,"DPW Training Manual 2024.docx, Utility Poles & Lines section",Infrastructure
What is an Address Modification permit?,"An Address Modification permit is required for: removing an existing address(es), adding new address(es) to existing ones, or confirming existing address. Issued by Engineering.","Infrastructure & Asset Management Quick Reference Training Guide 2024.docx, Address Modification section",Infrastructure
When does a building permit require Engineering review?,"Engineering reviews building permits for: basement renovation, changing basement elevation, adding new basement, increasing number of bedrooms, increasing building floor area, increasing footprint of building, increasing/decreasing building unit count, increasing/decreasing building main entrances, changing use of building, constructing new building, constructing new foundations, new water/sewer/drain service connection, or existing/new sump pump and/or foundation drain.","Infrastructure & Asset Management Quick Reference Training Guide 2024.docx, Building Permit Engineering section; DPW Training Manual 2024.docx",Infrastructure
What is a Curb Cut permit?,"A Curb Cut/Sidewalk Construction permit is required for: sidewalk construction, existing curb cut reconstruction, new or modified curb cuts, and curb cut removal. Issued by Engineering.","Infrastructure & Asset Management Quick Reference Training Guide 2024.docx, Curb Cut & Sidewalk Construction section",Infrastructure
What is Jackie's Law?,"Jackie's Law requires permits for any excavation 36 inches deep or greater, whether for underground utilities on private property or other excavation work.","Infrastructure & Asset Management Quick Reference Training Guide 2024.docx, Permits section",Infrastructure
What is a Site Construction Permit?,"An Engineering Site Construction permit is required for: construction on existing or proposed slope of 25% (4:1) or steeper, constructing pavement (including patios, pools, decks or porches) that covers more than 30 SF or within 24 inches of property line for more than 5 feet, repairing existing pavement that covers more than 100 SF or within 24 inches of property line for more than 5 feet, increasing building roof area by more than 30 SF or within 24 inches of property line for more than 5 feet, driveway & pavement permit, thoroughfare (public and private street construction), and civic space (public and private park construction).","Infrastructure & Asset Management Quick Reference Training Guide 2024.docx, Site Construction Permit section",Infrastructure
What is a Street Occupancy permit?,"A Street Occupancy permit is required for all construction on or under public right of way (sidewalk and/or roadway). With Trench: loading/unloading construction materials, cranes (including overhang), blocking/obstruction of street, scaffolding/ladders, tree removal, aerial utility work, underground utilities, any excavation 36 inches deep or greater. Without Trench: underground utilities on private property 36 inches deep or greater, any excavation 36 inches deep or greater (Jackie's Law).","Infrastructure & Asset Management Quick Reference Training Guide 2024.docx, Street or Sidewalk Occupancy section",Infrastructure
Who are the key IAM staff?,"Director of IAM: Rich Raiche, x5410. Director of Capital Projects: Melissa Woods, x5124/5410. Asst Dir of Capital Projects: Ralph Henry, x5125. Director of Engineering: Brian Postlewaite, x5418. Asst Dir of Engineering: Kevin Roche, x5417. Construction Liaison & Compliance Mgr: Jesse Moos, x5419. Clerk: Julia Kelly Wingate, x5400/5415.","Infrastructure & Asset Management Quick Reference Training Guide 2024.docx; DPW Training Manual 2024.docx, IAM Staff",Infrastructure
What are Engineering office hours?,Engineering is located on the first floor to the left at 1 Franey Rd. Scheduled office hours Monday-Friday 9am-11:30am and 1:30pm-4pm. Meetings scheduled by calling x5400 or emailing engineering@somervillema.gov in 15-minute blocks. Walk-ins allowed Monday-Thursday 1:30pm-4pm for document pickup/drop-off ONLY (no questions/conversations). Document requests must be submitted 4+ business days prior by emailing engineeringrequests@somervillema.gov. Only one party at front desk at a time. Waiting in hallway allowed when front desk occupied. Engineering office may be closed without notice.,"Infrastructure & Asset Management Quick Reference Training Guide 2024.docx; DPW Training Manual 2024.docx, Office Hours",Infrastructure
What are IAM hours and location?,"Located at 1 Franey Rd, Somerville, MA 02145. Hours: Monday-Friday 9am-4pm. Phone: 617-625-6600 ext. 5400. Director: Rich Raiche, x5410. Construction Liaison: Jesse Moos, x5419. Administrative Assistant: Julie Wingate, x5415.","Infrastructure & Asset Management Quick Reference Training Guide 2024.docx; DPW Training Manual 2024.docx, page 1",Infrastructure
What does IAM's Capital Projects Division do?,"Capital Projects oversees construction, reconstruction, renovation, and preventive maintenance of all 32 City-owned buildings (approximately 1.9 million square feet). They work with Mayor's Office, OSPCD, DPW, and other departments through planning and design phases, work with contractors on specifications/timelines/budgets, and ensure federal, state, and local guidelines are met. They prioritize sustainability, energy efficiency, and ADA accessibility. Director: Melissa Woods.","Infrastructure & Asset Management Quick Reference Training Guide 2024.docx; DPW Training Manual 2024.docx; New Hire Training PPT.pdf, Capital Projects slides",Infrastructure
What are some recent Capital Projects?,"Recent projects include: New Somerville High School, West Branch Library Renovation, Kennedy School Chiller Replacement Project, City Hall Clock Tower Repairs, East Somerville Community School (rebuilt after fire), New Public Safety Building at 90 Washington St (planning phase), and Building Master plan and Department Relocation Strategy Initiative.","Infrastructure & Asset Management Quick Reference Training Guide 2024.docx; DPW Training Manual 2024.docx; New Hire Training PPT.pdf, Capital Projects slides",Infrastructure
What does IAM's Engineering Division do?,"Engineering facilitates improvement and modernization of roadways, sidewalks, water distribution, sewer, and stormwater systems by engineering safe, multimodal, functional, sustainable infrastructure projects. They manage street opening and trench permit programs, review private development site plans for compliance, administer pavement management program, and act as liaison to state/federal agencies (MBTA, MassDOT, EPA, MassDEP, MWRA). Director: Brian Postlewaite.","Infrastructure & Asset Management Quick Reference Training Guide 2024.docx; DPW Training Manual 2024.docx; New Hire Training PPT.pdf, Engineering slides",Infrastructure
What are some recent Engineering projects?,"Recent projects include: Combined Sewer Overflow (CSO) Control, Lead Service Replacement Program, Annual Sewer & Storm Drain Inspection, Pavement & Sidewalk Management, Spring Hill Sewer Separation Project, Murdock Streetscape Project, Sewer Pipeline & Manhole Rehabilitation, Somerville Ave Utility and Streetscape Improvement Project, Stormwater Management Program, Willow Ave to Grove St Sewer Infrastructure, CCTV inspection of all sewer lines in the city.","Infrastructure & Asset Management Quick Reference Training Guide 2024.docx; DPW Training Manual 2024.docx; New Hire Training PPT.pdf, Engineering slides",Infrastructure
What does IAM do?,"IAM develops and implements comprehensive plans to maintain, modernize, and replace Somerville's horizontal (roads, utilities) and vertical (buildings) infrastructure assets through Capital Projects (buildings) and Engineering (utilities). They work with DPW, OSPCD, and Water & Sewer to optimize capital investments, establish evaluation criteria for rating and prioritizing projects, and identify alternative funding to minimize taxpayer costs.","Infrastructure & Asset Management Quick Reference Training Guide 2024.docx; DPW Training Manual 2024.docx; New Hire Training PPT.pdf, IAM Mission slide",Infrastructure
What is Digsafe marking?,"Digsafe markings are colorful markings on streets and sidewalks indicating underground utilities before excavation work. Colors indicate: Yellow (gas), Red (electric), Orange (communication/cable/fiber), Blue (water), Green (sewer), Pink (survey markings). Materials indicated by codes: CI (cast iron), PL (plastic), ST (steel). Numbers before quotation mark indicate inches diameter of the pipe (mostly applies to gas and water).","New Hire Training PPT.pdf, IAM Training - Dig Safe slide",Infrastructure
What does GIS Engineering do?,"GIS Engineering supports infrastructure planning, provides mapping and data analysis for public assets, and is used to route permits and visualize infrastructure impact.","New Hire Training PPT.pdf, IAM Training - GIS Engineering slide",Infrastructure
What are some common non-criminal ticket violations?,"Common violations include: SCO 11-31 (Residential trash removal), SCO 11-34 (Commercial trash removal), SCO 12-08 (Snow/Ice Removal), SCO 12-09 (Snow/Ice in Streets), SCO 12-14 (Outdoor Seating and Projections over sidewalk), SCO 09-56 (Grass/Weed Overgrowth), SCO 03-38(C) (Dog Fouling), SCO 03-32 (Leash Law), SCO 03-33 (Barking Dog), SCO 09-112 (Noise Ordinance), GL C. 140 S157 (Unlicensed Dog).","City Clerks Quick Reference Training Guide 2024.docx, Non-Criminal Tickets section",Inspectional Services
Where is the ISD Buildings office located?,ISD Buildings office is located on the first floor to the right at 1 Franey Rd. Office is open to the public Monday-Thursday 9am-11am to drop off documents and payment only.,"DPW Training Manual 2024.docx, ISD Buildings - Location and Hours",Inspectional Services
Where is the ISD Health office located?,ISD Health office is located in the basement at 1 Franey Rd. Office is open to the public Monday-Thursday 9am-11am to drop off documents and payment only.,"DPW Training Manual 2024.docx, ISD Health - Location & Hours",Inspectional Services
What are sanitation inspectors responsible for?,"Sanitation and Health inspectors verify property owners adhere to city's trash ordinances (sec 11-31, 11-34 & 11-35). They cite property owners for violations including putting trash out too early, uncovered trash, trash not in barrels, littering, blocked sidewalks. Sanitation inspectors generally enforce on scheduled trash days; health inspectors enforce on non-trash days. They follow up on 311 complaints, investigate illegal dumping, and verify waste contractor trucks are empty before starting collection (city pays by tonnage).","DPW Training Manual 2024.docx, Sanitation Inspectors section",Inspectional Services
Can a landlord pass a trash ticket to their tenant?,"The city can only cite the property owner. However, a landlord may pass the ticket to a tenant if their lease or rental agreement includes language related to adherence to the city of Somerville's trash ordinance. This will be a private matter between the landlord and their tenant.","DPW Training Manual 2024.docx, Sanitation Inspectors section",Inspectional Services
When is construction noise allowed?,"Construction tools, pile drivers, hammers, or related work is allowed: Weekdays 7am-7pm, Saturdays 9am-7pm, day after Thanksgiving and Christmas (unless Sunday) 9am-7pm. NO construction on Sundays or Massachusetts Legal Holidays. Violations result in non-criminal tickets.","ISD Quick Reference Training guide 2024.docx, Construction noise section",Inspectional Services
What can I be ticketed for regarding trash violations?,"Violations include: trash/recycling not in covered barrels when stored, items put out before 4pm the day before collection or after 7pm collection day, barrels over 50lbs, food trash outside barrels, excess trash without authorization, trash blocking sidewalk (must leave 36-42 inch clearance), construction materials in regular trash. Residential fines: $50 (1st), $100 (2nd), $300 (3rd+). Commercial: $65 (1st), $125 (2nd), $300 (3rd+).","ISD Quick Reference Training guide 2024.docx, Sec 11-30 section; New Hire Training PPT.pdf",Inspectional Services
What is the outdoor seating ordinance (Sec 12-14)?,"No person shall, except with a permit from city council or as otherwise authorized, place, make or maintain any gate, table, stall, booth or other erection, signs, goods, wares, outdoor seating, doorstep, portico, porch, bow window, entrance or passageway to cellar/basement, opening or area for admitting light/air, or any other article or structure on any street or sidewalk, or maintain such articles in manner that projects or swings into or over any street or sidewalk.","ISD Quick Reference Training guide 2024.docx, Sec 12-14 section",Inspectional Services
When can I use a leaf blower?,"Per Leaf Blower Regulation (effective September 1, 2021), leaf blowers can only be used March 15-May 31 and October 1-December 15, between 9am-5pm. Cannot be used on Sundays or legal holidays. Must be set to lowest setting needed. Lawn care businesses must submit an operations plan to ISD via Citizenserve before operating leaf blowers in Somerville. Violation fine: $300.","ISD Quick Reference Training guide 2024.docx, SEC 9-119 Leaf Blower section; New Hire Training PPT.pdf",Inspectional Services
What types of noise disturbances does ISD enforce?,"ISD enforces noise from: air conditioners creating noise disturbance, construction/demolition work outside allowed hours (before 7am/after 7pm weekdays, before 9am/after 7pm Saturdays, day after Thanksgiving/Christmas, anytime Sunday/holidays), domestic power tools outdoors in residential areas 9pm-7am weekdays or 9pm-9am Sat/Sun/holidays, loading/unloading 7pm-7am creating noise disturbance, and vibration above perception threshold at property boundary. State construction projects (like GLX) are not subject to Somerville's noise ordinance. Other noise disturbances are enforced by Police.","ISD Quick Reference Training guide 2024.docx, Sec. 9-116 Noise disturbances section; New Hire Training PPT.pdf",Inspectional Services
What is the overgrowth ordinance (Sec. 9-56)?,"Per Somerville ordinance, no person in control of property abutting a sidewalk or public right-of-way shall allow to remain uncut any overgrowth of grass, shrubs, and weeds. Properties must be free of vegetation infested with rodents/vermin, that conceals stagnant water conducive to breeding mosquitoes, or creates fire hazards. Wood cannot be stored outdoors in manner providing rodent harborage. Decayed, dead, or hazardous trees/limbs potentially injurious to public safety must be removed.","ISD Quick Reference Training guide 2024.docx, Sec. 9-56 section",Inspectional Services
How do I file a tenant complaint?,"First contact your landlord. If you receive no response or unsatisfactory response, contact 311 to file a complaint with Health Division. They will schedule an inspection. If State Sanitary Code violations are found, landlord receives an order to correct (up to 30 days depending on urgency). If landlord fails to correct, they may be taken to court. Health Division investigates issues like asbestos, bedbugs, lead paint, mold, proper trash disposal, roaches, and rodents.","ISD Quick Reference Training guide 2024.docx; DPW Training Manual 2024.docx, Filing a Tenant Complaint; New Hire Training PPT.pdf",Inspectional Services
Who are the key ISD staff?,"Director: Nick Antanavica, x5610. Assistant Director: Matthew Zaino, x5625. Senior Building Inspector: Al Bargoot, x5616. Chief Health Inspector: Michelle Bowler, x4303. ISD Liaison: Kelly Como, x5606/5600. Operations Manager: Jen Sousa, x5613/5600. ISD Building Admin Asst: Gelin Esteban, x5605/5600. ISD Health Admin Asst: Andrea Como, x4315/4331. Environmental Health Manager (Rodents): Colin Ziegler, x5600.","ISD Quick Reference Training guide 2024.docx; DPW Training Manual 2024.docx, ISD Staff",Inspectional Services
Can ISD help with air quality testing for mold?,"For visible mold, Health Division can conduct an inspection. If visible mold is confirmed, landlord must remove mold. For mold and air quality inquiries beyond visible mold inspection, constituents should contact a mold tech company for air quality testing.","ISD Quick Reference Training guide 2024.docx; DPW Training Manual 2024.docx, Mold section",Inspectional Services
What are ISD hours and location?,"Located at 1 Franey Rd, Somerville, MA 02145. Hours: Monday-Thursday 9am-11am and 1pm-3pm for brief interactions, document drop-offs, and payments ONLY. Must schedule appointment for in-depth questions. Phone: 617-625-6600 ext. 5600. Email: isd@somervillema.gov. Rodent email: isdrondentcontrol@somervillema.gov. ISD Liaison: Kelly Como, x5606/5600.","ISD Quick Reference Training guide 2024.docx; DPW Training Manual 2024.docx, page 1; New Hire Training PPT.pdf",Inspectional Services
How long does the Rodent Assistance Program last?,"Program runs for seven weeks with four visits from exterminator. At end, exterminator takes any bait boxes placed on property. If determined necessary by inspector and exterminator, treatment and monitoring may be extended or property may qualify for alternative abatement measures. Properties limited to 180 days of treatment per sign-up and two sign-ups per year.","ISD Quick Reference Training guide 2024.docx; DPW Training Manual 2024.docx, Rodent Assistance Program",Inspectional Services
Does ISD still bait sewers for rodent control?,"No. Baiting sewers is no longer done as it can contaminate the water supply. For outdoor rodent sightings and activity, report to 311. Data is used to deploy SMART boxes. For indoor rodent complaints, Health Division conducts inspection and if evidence is found, landlord must hire a licensed exterminator.","ISD Quick Reference Training guide 2024.docx; DPW Training Manual 2024.docx, Rodents section",Inspectional Services
What tenant complaint issues does ISD Health investigate?,"ISD Health investigates: Asbestos (can inspect; landlord must hire licensed removal company), Bedbugs (inspection available), Lead paint (conducts test in households with children under 6; landlord must hire licensed inspector/contractor), Mold (inspects visible mold; landlord must remove), Proper trash disposal, Roaches (inspects; landlord must hire licensed exterminator), and Rodents (outdoor: data used for SMART boxes; indoor: inspection conducted, landlord must hire exterminator).","ISD Quick Reference Training guide 2024.docx; DPW Training Manual 2024.docx, Tenant complaint issues",Inspectional Services
What does the ISD Buildings Division do?,"The Building Division provides permitting, plan review, and related resources to ensure compliance with Massachusetts State Building Code and Somerville Zoning Ordinance. They review plans and issue permits to homeowners/licensed contractors/architects, conduct field inspections on building permits/certificates of occupancy/certificates of inspection/fire escapes, respond to complaints from homeowners/tenants/contractors, represent City in court for violations, respond to emergencies requested by Fire Department, and register/regulate newspaper boxes.","ISD Quick Reference Training guide 2024.docx; DPW Training Manual 2024.docx; New Hire Training PPT.pdf, ISD Buildings",Inspectional Services
What does the ISD Health Division do?,"ISD Health provides residents with high quality education, code enforcement, emergency services, and support to improve health and safety. They enforce the State Sanitary Code related to tenants and living space, issue and renew licenses related to body art/retail space/food establishments/permanent on-site dumpster use/removal and disposal of trash from dumpsters and other health-related commercial licenses, investigate tenant complaints, conduct health inspections of residences and businesses, partner with Board of Health and Health Department, and educate residents on proper sanitation and housing conditions.","ISD Quick Reference Training guide 2024.docx; DPW Training Manual 2024.docx; New Hire Training PPT.pdf, ISD Health",Inspectional Services
What are the requirements for the Rodent Assistance Program?,Available to residential properties with 3 or fewer units. Can only be completed with signed consent from both property owner and ALL current tenants 18 and older. City Health inspectors survey property for evidence of rodents and provide educational materials. Owners and tenants must agree to take recommended rodent prevention actions (such as removing pet food bowls from outdoors or clearing debris from yards).,"ISD Quick Reference Training guide 2024.docx; DPW Training Manual 2024.docx; New Hire Training PPT.pdf, Rodent Assistance eligibility",Inspectional Services
What is the Rodent Assistance Program?,This program offers FREE rodent control services including bait boxes and burrow treatments for residential properties with 3 or fewer units. City inspectors survey property and provide educational materials. Licensed pest control company provides services. Program runs 7 weeks with 4 visits. Both property owner and all tenants 18+ must sign consent forms. Properties limited to 180 days of treatment per sign-up and 2 sign-ups per year. Contact 311 to sign up.,"ISD Quick Reference Training guide 2024.docx; DPW Training Manual 2024.docx; New Hire Training PPT.pdf, Rodent Assistance Program",Inspectional Services
What does the Weights & Measures Division do?,"Weights and Measures enforces all State laws and regulations regarding weights and measures such as check-out scanners, taximeters, gasoline pumps, and supermarket scales. They inspect and certify weighing and measuring devices including automatic check-out systems, taximeters, home heating oil truck meters, gasoline pumps, supermarket and deli scales, manufacturing and shipping scales, apothecary and jewelry scales, and troy weights to ensure fair commercial practices citywide.","ISD Quick Reference Training guide 2024.docx; DPW Training Manual 2024.docx; New Hire Training PPT.pdf, Weights & Measures",Inspectional Services
How do I contact the Mayor's Office with an issue?,"If 311 cannot resolve your issue, they will send an email to Mayor@somervillema.gov with: your first and last name (verified spelling), contact information (phone and email), organization you represent (if applicable), and detailed description of issue or service requested. This allows Mayor's office to research prior to contacting you and ensures appropriate staff handles it efficiently. Response may take up to a week. If you insist on speaking directly, 311 can transfer to x2100. Emails sent to Mayor's office should be logged on QAlert under 'Mayor' then SAVED & CLOSED.","Executive Administration Quick reference Guide 2024.docx, Handling Requests section",Mayor's Office
What does the Mayor's Office do?,"The Mayor's Office creates, executes, and enforces City policies, communicates administrative orders and information to departments. Staff keeps Mayor informed on intergovernmental issues and assists in representing City's interests. Functions include: serving as resource for public seeking assistance with housing/schools/employment/services, responding to citizen inquiries, developing/implementing policies, planning administration of executive functions including personnel and fiscal operations, participating in hiring at managerial level, liaising with other agencies, aiding Communications with public relations, assisting economic development, coordinating meetings of boards/committees/commissions, and organizing city-wide public events and celebrations.","Executive Administration Quick reference Guide 2024.docx, Mayor's Office description",Mayor's Office
What are Mayor's Office hours and location?,"Located at 93 Highland Ave, Lower 2nd floor, Somerville, MA 02143. Hours: Monday-Wednesday 8:30am-4:30pm, Thursday 8:30am-7:30pm, Friday 8:30am-12:30pm. Phone: 617-625-6600 ext. 2100. Email: mayor@somervillema.gov. Mayor: Katjana Ballantyne. Chief of Staff: Nikki Spencer, x2115.","Executive Administration Quick reference Guide 2024.docx, page 1",Mayor's Office
Who are the Mayor's Office staff?,"Mayor: Katjana Ballantyne, x2100. Chief of Staff: Nikki Spencer, x2115. Intergovernmental Affairs Director: Neha Singh, 2135. Executive Admin Aide: Luz Lopez-Rodriguez, x2054 (Temp Admin Asst while Luz is on leave: Yesenia Castillo, 2105). Administrative Aide: Midalys Rosario, x2056.","Executive Administration Quick reference Guide 2024.docx, page 1",Mayor's Office
What are space savers and are they allowed?,Space savers are objects used to reserve a parking space after a snow event. Report use of space savers through 311 by submitting a 'Space saver report'. Parking enforcement addresses space saver violations.,"DPW INFO Quick Reference guide 2024.docx, Snow Related Requests table",Parking
How long does it take to get a parking permit if I apply online?,"Online parking permit applications are a two-step process that takes 2+ weeks to review. After approval, you must log in and pay. Fulfillment and mailing take another 2+ weeks, making it a total 4+ week process. Your payment receipt serves as a temporary residential permit until you receive the actual permit. Applications submitted in person at 133 Holland St are issued immediately.","New Hire Training PPT.pdf, Parking Training - Application Timeline slide",Parking
When are parking violations enforced?,"Parking violations are enforced by Parking Control Officers (PCOs) and Somerville Police Monday-Saturday, 24 hours a day. They focus on permit parking, meters, safety, and street sweeping compliance. MPS Sticks (mobile enforcement vehicles) also enforce illegal parking via surveillance with minimal third-party enforcement.","New Hire Training PPT.pdf, Parking Training - Enforcement slide",Parking
How much does it cost to replace a parking permit?,"Parking permit replacement costs $25-$50 depending on the permit type. Some replacements are waived for seniors and handicapped permit holders. Reasons to replace include: not received, lost, damaged, or windshield replacement. You must apply in person with proof of residency, proof of damaged permit (if applicable), or proof of windshield replacement.","New Hire Training PPT.pdf, Parking Training - Permit Replacement slide",Parking
What are Temporary No Parking Signs (TNPS) and when are they required?,"TNPS allow reservation of public street space for limited use such as moves, construction, special events, and deliveries. They're required ANYTIME a vehicle or equipment needs exclusive use of street parking (moving trucks, dumpsters, crane work, tree service, events). NOT required on Sundays or holidays unless otherwise posted. You must have an associated permit.","New Hire Training PPT.pdf, Parking Training - TNPS slides",Parking
